id,nom_formation,description,domaine,competences_requises,niveau,localisation,duree_mois,prix_dt,langue_enseignement
1,Développeur Full Stack JavaScript,Formation complète pour devenir développeur web full stack avec JavaScript,Informatique,"HTML, CSS, JavaScript, React, Node.js, MongoDB",Débutant,Tunis,6,2500,Français
2,Data Scientist Python,Formation spécialisée en science des données avec Python,Data Science,"Python, Pandas, NumPy, Scikit-learn, TensorFlow",Intermédiaire,Sfax,8,3200,Français
3,Expert Cybersécurité,Formation avancée en sécurité informatique et hacking éthique,Sécurité,"Linux, Ethical Hacking, Cryptographie, SIEM",Intermédiaire,Tunis,7,2800,Arabe
4,Ingénieur DevOps AWS,Formation aux pratiques DevOps et cloud computing,AWS,"Docker, Kubernetes, AWS, CI/CD, Git",Intermédiaire,Sousse,6,3000,Français
5,Spécialiste Intelligence Artificielle,Formation avancée en IA et deep learning,IA,"Python, TensorFlow, PyTorch, Computer Vision, NLP",Avancé,Tunis,10,4500,Anglais
6,Développeur Mobile React Native,Formation développement d'applications mobiles cross-platform,Mobile,"React Native, JavaScript, Redux, Navigation",Débutant,Monastir,5,2200,Français
7,Designer UX/UI,Formation design d'interface utilisateur et expérience utilisateur,Design,"Figma, Adobe XD, Photoshop, Sketch, Prototyping",Débutant,Tunis,4,1800,Français
8,Développeur Blockchain Ethereum,Formation développement d'applications blockchain,Blockchain,"Solidity, Ethereum, Web3, Smart Contracts",Intermédiaire,Sfax,6,3500,Anglais
9,Chef de Projet Agile,Formation méthodologies agiles et gestion de projet,Management,"Scrum, Kanban, Jira, Confluence, Leadership",Débutant,Tunis,3,1500,Arabe
10,Administrateur Réseaux Cisco,Formation administration réseaux et systèmes,Réseaux,"CCNA, Windows Server, Linux, Virtualisation",Intermédiaire,Sousse,7,2600,Français
11,Analyste Business Intelligence,Formation analyse de données business et reporting,BI,"Power BI, Tableau, SQL, Excel Avancé",Débutant,Tunis,5,2000,Français
12,Spécialiste Marketing Digital,Formation commerce électronique et marketing digital,Marketing,"Google Analytics, Facebook Ads, SEO, SEM",Débutant,Sfax,4,1800,Arabe
13,Architecte Cloud Azure,Formation spécialisée Microsoft Azure et cloud computing,Cloud,"Azure, PowerShell, ARM Templates, Azure DevOps",Intermédiaire,Tunis,6,2800,Français
